hotel_name,rating,price,room_type,bed,amenities
HERE INN HOTEL,4.8,soldOut,Notavailable,Notavailable,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Wake-up call|Designated Smoking Area
Beijing Xinyuan Hotel,4.8,After tax US$288.99,Standard Twin Room,2 single beds,Wi-Fi in designated areas|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Spa|Café|Currency exchange|ATM|Luggage storage|Wake-up call|Karaoke|Mahjong/chess/poker room|Beauty salon
5L Hotel,4.4,After tax US$185.90,Apartment of King Bed,1 queen bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Basketball|Football|Teahouse|Game room|Designated Smoking Area
Zhaolin Grand Hotel,4.9,After tax US$359.97,Superior Double Room (No window),1 queen bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Sauna|Foot massage|Bar|Café|Non-smoking floor|Currency exchange|ATM|Luggage storage|Wake-up call|Teahouse
Manxin Hotel Beijing Hepingmen Metro Station,4.8,After tax US$206.18,Queen Room,1 double bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
We Light Hotel (Beijing Xizhimen),4.8,After tax US$113.23,Discount Room,1 double bed,Wi-Fi in designated areas|Café
"Jinjiang Inn (Beijing Capital Airport, Shunyi Metro Station)",4.7,After tax US$40.56,Business Room B,1 double bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Read and Rest Hotel,4.8,After tax US$185.90,Mini Double Room,1 double bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Library
Go Inn Hotel,4.5,After tax US$197.73,Business Queen Room (Yingbin building),1 king bed,Wi-Fi in designated areas|Airport pickup service|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Hot spring|Foot massage|Spa|Non-smoking floor|ATM|Luggage storage|Wake-up call|Water sports|Karaoke|Table tennis|Billiards|Teahouse
Tangla Hotel Beijing,4.5,After tax US$329.55,Executive Room,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Indoor swimming pool|Gym|Restaurant|Front desk (24 hours)|Massage|Sauna|Foot massage|Spa|Bar|Non-smoking floor|ATM|Luggage storage|Wake-up call|Karaoke|Teahouse|Beauty salon
pentahotel Beijing,4.4,After tax US$219.30,Penta Queen Room,1 queen bed,Wi-Fi in designated areas|Gym|Restaurant|Front desk (24 hours)|Non-smoking floor|Currency exchange|Luggage storage|Wake-up call|Billiards
Nishi Haitai Hotel (Beijing Sijiqing),4.6,After tax US$215.90,Superior Double Room,1 double bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Sauna|Hot spring|Foot massage|Spa|Massage|Café|Non-smoking floor|Luggage storage|Wake-up call|Mahjong/chess/poker room|Teahouse
Sentury Apartment Hotel,4.5,After tax US$129.20,Queen Room,1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|ATM|Luggage storage
Cendre Hotel,4.7,After tax US$119,Queen Room,1 queen bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Wake-up call|Designated Smoking Area
Lypin Courtyard Hotel (Beijing South Luogu Lane),4.8,After tax US$204,Guestroom - Courtyard-View (Double bed),1 king bed,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Southern Pearl Hotel,4.5,After tax US$180.20,Business Twin Room,2 single beds,Front desk (24 hours)|Massage|Café|Non-smoking floor|ATM|Luggage storage|Wake-up call|Teahouse
"Yunchuan 3D Cinema Hotel (Beijing Bird's Nest, University of International Business and Economics)",4.9,After tax US$137.70,Guestroom - Double Occupancy (Double bed) (Shower),1 queen bed,Wi-Fi in designated areas|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Fuyong Yulong Hotel,4.5,After tax US$95.20,Guestroom - Double Occupancy,2 single beds,Wi-Fi in designated areas|Shuttle service to nearby landmarks|Airport Shuttle Service|Airport pickup service|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|ATM|Luggage storage|Wake-up call
Yunshuiyao Shanju Hot Spring Resort,4.6,After tax US$253.30,Guestroom (2 beds),2 single beds,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Hot spring|Non-smoking floor|Luggage storage|Wake-up call|Water sports|Mahjong/chess/poker room|Teahouse|Fishing
City Inn (Beijing Happy Valley),4.5,After tax US$98.60,Guestroom (Double bed),1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call
"Yunchuan 3D Cinema Hotel (Beijing Bird's Nest, University of International Business and Economics)",4.9,After tax US$137.70,Guestroom - Double Occupancy (Double bed) (Shower),1 queen bed,Wi-Fi in designated areas|Front desk (24 hours)|Non-smoking floor|Luggage storage|Wake-up call
Fuyong Yulong Hotel,4.5,After tax US$95.20,Guestroom - Double Occupancy,2 single beds,Wi-Fi in designated areas|Shuttle service to nearby landmarks|Airport Shuttle Service|Airport pickup service|Restaurant|Front desk (24 hours)|Bar|Café|Non-smoking floor|ATM|Luggage storage|Wake-up call
Yunshuiyao Shanju Hot Spring Resort,4.6,After tax US$253.30,Guestroom (2 beds),2 single beds,Wi-Fi in designated areas|Airport pickup service|Restaurant|Front desk (24 hours)|Hot spring|Non-smoking floor|Luggage storage|Wake-up call|Water sports|Mahjong/chess/poker room|Teahouse|Fishing
City Inn (Beijing Happy Valley),4.5,After tax US$98.60,Guestroom (Double bed),1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Luggage storage|Wake-up call
Bin An Si Lido Apartment (Beijing Wangjing Jiuxianqiao 798 Lidu),4.7,After tax US$282.20,Deluxe Room - 2-Bedroom,1 double bed and 1 queen bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|Luggage storage|Wake-up call
Junma International Hotel,4.3,After tax US$234.60,Standard Double Room,1 king bed,Wi-Fi in designated areas|Restaurant|Front desk (24 hours)|Café|Non-smoking floor|ATM|Luggage storage|Wake-up call
